ds,yhat,yhat_lower,yhat_upper,StoreType
2013-02-06,942960.0057071169,696400.3195202411,1181774.4573069534,c
2013-02-07,941218.7579162903,699027.7247056453,1166429.6199978297,c
2013-02-08,1002139.7763882402,778866.8506090437,1256237.0727131658,c
2013-02-09,944564.298597464,694076.5994335783,1180118.1318853304,c
2013-02-11,1138470.9016319495,890606.6899954429,1380506.214982727,c
2013-02-12,974380.1450404357,708156.2282778668,1214539.3301945522,c
2013-02-13,928654.2943917899,702714.7632781434,1182987.6959952356,c
2013-02-14,924320.1808862339,659657.5006720787,1155838.8674157066,c
2013-02-15,983056.5415765842,750450.4211050373,1230088.4860436425,c
2013-02-16,923711.3211475746,686315.818409879,1175162.8619323508,c
2013-02-18,1115317.1031836,866559.4049746295,1359747.7905319012,c
2013-02-19,950679.3617335443,710758.6624035805,1188790.999967465,c
2013-02-20,904791.9693300815,676703.0441833313,1155797.9199941456,c
2013-02-21,900666.072387798,649858.8264357626,1143730.5278169748,c
2013-02-22,959963.4073723038,692252.8202776937,1211541.000599865,c
2013-02-23,901514.3572534118,660351.1866972623,1146641.7493949456,c
2013-02-25,1095848.2397159494,845971.5003204708,1358536.4566931722,c
2013-02-26,933008.6434078178,700821.4078279852,1178926.3014005155,c
2013-02-27,889187.1747645434,662940.1780142589,1121615.9913215856,c
2013-02-28,887379.235467467,621405.6451246644,1128349.7336894956,c
2013-03-01,949230.7960201348,687747.700136142,1194685.1446675204,c
2013-03-02,893555.9692057477,639451.9211191494,1137681.6224665463,c
2013-03-04,1094027.1905062448,856377.8881619417,1366029.9498749725,c
2013-03-05,934510.2596200189,688641.8650078862,1179322.252537858,c
2013-03-06,894149.3133613059,647476.3533925345,1137965.6904440382,c
2013-03-07,895911.9365193251,633954.0298072182,1129003.9340099888,c
2013-03-08,961412.3918654296,718232.2769482324,1190878.895636453,c
2013-03-09,909428.9267226162,676342.7341663882,1161237.3848098558,c
2013-03-11,1117245.6905917758,870312.764660172,1359583.554181637,c
2013-03-12,961290.6415905182,721215.1677838789,1201380.8570567109,c
2013-03-13,924350.3223575295,683658.6931664136,1175735.7576439006,c
2013-03-14,929338.5159298549,676306.984361181,1174310.7411086648,c
2013-03-15,997814.1660138653,754955.6251185668,1245705.2049799147,c
2013-03-16,948499.8423016845,707701.6192017868,1201415.3457021846,c
2013-03-18,1160520.232681106,906316.0975905922,1402658.5139705366,c
2013-03-19,1005998.9045691362,765113.2190542041,1241196.6389617103,c
2013-03-20,969987.7713195734,728458.7496506876,1221588.7352711917,c
2013-03-21,975364.5699778369,713744.8829571917,1217157.8997098955,c
2013-03-22,1043660.5841774778,787452.7192289393,1288740.7059235892,c
2013-03-23,993580.4150990276,747903.0431987345,1248781.6981731541,c
2013-03-25,1202293.5849907668,970749.1237431146,1439758.9174823982,c
2013-03-26,1045252.3311418036,803359.8618630953,1279479.2774917355,c
2013-03-27,1006178.9032245342,760543.3513339233,1257180.409262779,c
2013-03-28,1007993.2202212749,769493.8804099689,1251160.0406862372,c
2013-03-30,1017812.9204595919,778570.2506781695,1250321.2033268746,c
2013-04-02,1054851.35620149,799864.6239714911,1297240.3215921915,c
2013-04-03,1010718.0158278643,771466.1108098398,1270173.522395436,c
2013-04-04,1007547.5075176548,758535.6169762143,1259584.8744381173,c
2013-04-05,1067027.8369948368,827191.4092077779,1320849.5374448537,c
2013-04-06,1008030.1756974141,758311.6853566163,1254888.8154077805,c
2013-04-08,1199296.5388219957,942049.8082929788,1435241.4126983958,c
2013-04-09,1034074.4935653841,778362.488114177,1259580.7379241637,c
2013-04-10,987407.1757897547,750472.6514295765,1225782.0323045342,c
2013-04-11,982371.667113348,742299.5209495589,1245734.5816458727,c
2013-04-12,1040696.5859501255,783373.1295177724,1281135.4833912435,c
2013-04-13,981277.3093431027,767498.2138340925,1234993.8932662557,c
2013-04-15,1173911.4249511862,923059.3895661863,1404398.0050375075,c
2013-04-16,1010438.8922112011,767546.9934423851,1247893.2369427257,c
2013-04-17,966175.5645357437,710560.7377547898,1220694.4578184648,c
2013-04-18,964135.650279758,719319.1145776248,1208580.5248395717,c
2013-04-19,1025969.701984408,768589.0152785197,1246643.186916155,c
2013-04-20,970481.6217863064,737347.7899379855,1232570.6717685468,c
2013-04-22,1171824.7180534524,920764.1061446896,1426273.8378822245,c
2013-04-23,1012901.0860066013,757605.0168707517,1268007.2666503913,c
2013-04-24,973156.6902142381,723630.75206346,1217768.7874855604,c
2013-04-25,975485.3844460006,744988.7715473862,1211461.33602729,c
2013-04-26,1041420.5651071416,799139.9774125948,1298151.796817522,c
2013-04-27,989655.2468901381,749728.6804581007,1219245.3105884285,c
2013-04-29,1196913.958185418,940209.8255322838,1440663.6397195146,c
2013-04-30,1040018.0100311748,810180.6588789383,1298057.7656051158,c
2013-05-02,1004504.0744866475,738224.7178197817,1257926.2112051246,c
2013-05-03,1070250.654882741,822152.8023629388,1305437.6626625424,c
2013-05-04,1017527.9744991094,760559.1273093508,1263404.34606973,c
2013-05-06,1220657.7975782887,989226.973779764,1476327.510997773,c
2013-05-07,1060684.3946373083,798592.8963726059,1283318.1500359834,c
2013-05-08,1018602.9897655854,757116.0684112575,1264641.402058556,c
2013-05-10,1078554.6108558355,825509.0079924184,1319367.3728399621,c
2013-05-11,1021004.0317844691,775441.4960201564,1271315.1074892166,c
2013-05-13,1214116.4385291103,967871.9451128878,1472258.3781944935,c
2013-05-14,1049200.363575334,805540.155966179,1278908.2144149034,c
2013-05-15,1002382.6646628546,754385.5393366925,1255964.0837739818,c
2013-05-16,996720.1961938026,756806.3164110406,1230121.6721455057,c
2013-05-17,1053932.4181485279,807668.8575402927,1299626.187082353,c
2013-05-18,992916.5476717894,749484.3952803158,1262554.4434418108,c
2013-05-21,1014560.2173198994,767154.1631952672,1269480.934078068,c
2013-05-22,966987.4721518797,728501.3052239507,1230933.1462243597,c
2013-05-23,961309.8408083374,729388.0652957031,1194591.9051078672,c
2013-05-24,1019231.7656185098,775096.4430676271,1256012.2506935238,c
2013-05-25,959615.7323004933,724318.214221916,1214048.5289831185,c
2013-05-27,1152304.5374701864,892767.8385664087,1391492.6040156053,c
2013-05-28,988982.0315421724,728446.2029173347,1244041.6604867184,c
2013-05-29,944874.9112722456,715581.7612266855,1199749.7605004697,c
2013-05-30,942937.1225086633,689114.3031870007,1206244.6839255174,c
2013-05-31,1004758.265218889,758558.0649910074,1248788.2205892748,c
2013-06-01,949082.4927956823,699103.8647832618,1187908.7870305914,c
2013-06-03,1149304.3007876512,905931.789894243,1396165.7281892062,c
2013-06-04,989350.5158476593,729418.0179345041,1244280.684376551,c
2013-06-05,948211.4400460036,689561.001636709,1219582.3120889317,c
2013-06-06,948754.1178400741,691898.2927370159,1192569.7371123272,c
2013-06-07,1012496.0122671317,779537.545056991,1262498.7029160154,c
2013-06-08,958125.9135495818,720018.2740174909,1206643.5542463704,c
2013-06-10,1158984.894861019,888198.4968682048,1391577.6325978998,c
2013-06-11,998346.855204453,758199.4466611459,1229542.8553054628,c
2013-06-12,955877.2770116585,715799.7128679077,1207364.2712355715,c
2013-06-13,954483.8232541162,700712.114822993,1197593.337161049,c
2013-06-14,1015742.335564543,776374.3957456233,1269169.5200541415,c
2013-06-15,958416.0264983721,697775.0666929486,1201130.227321029,c
2013-06-17,1152308.5978843817,896997.4014360474,1397744.3208503986,c
2013-06-18,987868.0096074848,741688.7903729221,1232917.6548230909,c
2013-06-19,941532.3679626582,692058.2033564976,1188180.3623158506,c
2013-06-20,936324.7721664204,680065.2349877047,1181935.4088998903,c
2013-06-21,993935.2658870067,732346.8258857823,1252257.3859462708,c
2013-06-22,933236.7712513201,675333.3360688858,1177393.5959063214,c
2013-06-24,1121610.3599903248,881770.0672575736,1380180.5544648264,c
2013-06-25,955193.0836120825,717480.6053162303,1214156.4956007584,c
2013-06-26,907492.0293770111,669017.9370544507,1165173.056379425,c
2013-06-27,901576.5047518606,665770.3321795884,1163763.6528741322,c
2013-06-28,959164.479809175,715619.3647693542,1209501.4598376532,c
2013-06-29,899137.7959752721,638076.876708119,1133285.380722116,c
2013-07-01,1090878.1240258752,841743.6867652341,1358312.1432041626,c
2013-07-02,927079.7253990769,675427.6712247815,1178273.3286836834,c
2013-07-03,882542.1079569636,644011.9200813388,1130370.7764360246,c
2013-07-04,880256.5297391439,635309.3683811561,1125769.9361456016,c
2013-07-05,941850.6092951044,712862.117505171,1177799.2147496478,c
2013-07-06,886106.1660170391,643188.6588512262,1122086.9065036708,c
2013-07-08,1086808.469209645,834826.3419341606,1330061.0522213466,c
2013-07-09,927468.2184364647,672123.884881627,1162294.1722010823,c
2013-07-10,887228.0031048672,648415.6019167089,1131225.5587146827,c
2013-07-11,888976.2066401273,639777.2707237194,1136662.7134236672,c
2013-07-12,954246.0431693421,685721.1872322981,1192949.2816849307,c
2013-07-13,901735.9754744549,680331.7710663751,1171213.4438217662,c
2013-07-15,1107317.6709190474,872528.988622528,1346981.5405475523,c
2013-07-16,949528.9326966726,715744.7086085451,1179675.2906255412,c
2013-07-17,910214.0566965598,664699.268220395,1154197.0835917958,c
2013-07-18,912257.8686696283,671843.8321141994,1166057.8199639295,c
2013-07-19,977207.4862780066,716421.4874898148,1218007.639495988,c
2013-07-20,923792.028046087,679092.8798056267,1163488.8736653987,c
2013-07-22,1126006.143079085,880064.9478917834,1380531.833486276,c
2013-07-23,965887.2500163562,718739.2049978897,1215108.6480517965,c
2013-07-24,923916.6690805755,678853.9438021948,1160125.0893054684,c
2013-07-25,923067.3999903766,665899.139030112,1163659.7958238435,c
2013-07-26,984978.6979153081,739017.1478304116,1240875.9814531466,c
2013-07-27,928472.8635341497,675970.3922339383,1170294.8856507044,c
2013-07-29,1124710.5918779422,895739.8171204604,1383588.5631957802,c
2013-07-30,961871.5562493184,711321.1796709461,1210899.4806821435,c
2013-07-31,917455.4741623254,682401.2795159008,1163873.3626317182,c
2013-08-01,914493.0717187604,660665.4124071687,1173749.159371776,c
2013-08-02,974667.8752361967,740020.0147828795,1219579.740990469,c
2013-08-03,916831.7874074259,667268.460389879,1173041.0783347236,c
2013-08-05,1111668.9148264844,873895.2929454345,1358954.9294586221,c
2013-08-06,948741.34563442,707232.4803847232,1195022.7052926025,c
2013-08-07,904607.6719968044,667197.0726091325,1158109.7417020104,c
2013-08-08,902254.0165699517,647304.7228444152,1150222.9967539962,c
2013-08-09,963307.7135332454,728118.1351132414,1203115.9023455835,c
2013-08-10,906554.9665709442,673977.8371013532,1171658.6480326576,c
2013-08-12,1103876.4171532213,869282.7985839617,1351243.5246613263,c
2013-08-13,942193.5988202692,703250.1405674722,1178461.0911964683,c
2013-08-14,899202.3174274145,642735.048204225,1148765.7863764623,c
2013-08-15,897814.953071839,646052.9212602428,1138551.7941299248,c
2013-08-16,959591.8441423301,717454.3267010509,1201588.3855002162,c
2013-08-17,903261.4639286081,652831.4072369403,1146008.6157107118,c
2013-08-19,1100353.606054307,861006.2363319232,1344978.62459811,c
2013-08-20,937968.2067542535,695762.8692405978,1180145.7234628117,c
2013-08-21,893874.1287773657,644377.9508347345,1139883.546491182,c
2013-08-22,890997.7596581078,651262.7885910664,1137148.1972872643,c
2013-08-23,950929.6353008511,702420.5633978414,1210097.5675504815,c
2013-08-24,892444.0134479259,641393.9800880859,1131113.3120302714,c
2013-08-26,1084548.8096538768,838369.0993639422,1345726.4227944212,c
2013-08-27,919488.2353472727,674777.5232736118,1190029.745471431,c
2013-08-28,872718.0748584907,639697.0687163462,1119200.6072668137,c
2013-08-29,867262.3705721726,614977.1796119899,1111610.8572668068,c
2013-08-30,924811.7951701665,682640.7761989223,1173265.8298212988,c
2013-08-31,864240.0357688571,620515.1081779391,1093609.210151523,c
2013-09-02,1053436.4724523937,806572.9698304003,1306400.231019531,c
2013-09-03,887720.3177202625,658058.7419397708,1127997.4854384535,c
2013-09-04,840918.3373858302,586373.0331792167,1074380.159653524,c
2013-09-05,836104.4166313794,590194.5397089791,1089638.895944933,c
2013-09-06,895001.5669784404,665640.9206557107,1154636.1886290286,c
2013-09-07,836496.7346021587,595370.4521953166,1070782.4875577907,c
2013-09-09,1031936.3901409865,772835.7566612004,1287998.9945363575,c
2013-09-10,870321.0005926822,626090.0111646432,1115491.8752367098,c
2013-09-11,828188.778302648,576267.5946451817,1065236.4439421794,c
2013-09-12,828527.399618482,577581.063628981,1072520.3286887142,c
2013-09-13,892957.1283347134,632533.8282812827,1131653.6461091412,c
2013-09-14,840248.0416123843,596391.9896519945,1091941.4184944474,c
2013-09-16,1047548.2564199626,801038.5542457614,1291301.9275645819,c
2013-09-17,891721.0637745365,628183.6450653631,1137892.2157644501,c
2013-09-18,855094.2830480568,610579.248501397,1108417.542645365,c
2013-09-19,860517.5722435175,613277.1414897843,1116540.64053188,c
2013-09-20,929480.1814963727,680790.1508940394,1171317.5275806736,c
2013-09-21,880631.8825325617,633584.1272597436,1129395.5581488137,c
2013-09-23,1093230.1958363107,849699.579765883,1337859.7969480716,c
2013-09-24,938682.6979151395,702526.5407601597,1191024.0810989449,c
2013-09-25,902353.1841349234,663527.7784678845,1135365.5758338093,c
2013-09-26,907068.5423361737,678187.6645601799,1162951.5386842336,c
2013-09-27,974320.0537038076,709664.9072115935,1213909.3192469121,c
2013-09-28,922784.6345040831,685375.504157695,1173006.2695154364,c
2013-09-30,1127311.8692691938,871093.978820814,1371303.0433194402,c
2013-10-01,967553.5436638002,737513.3431274851,1208053.531376058,c
2013-10-02,925379.3960688883,679360.2021355254,1186855.3484435277,c
2013-10-03,-31420.286226620316,-264210.0733829567,214781.7537427968,c
2013-10-04,984304.8309576295,747489.6080795324,1222192.3396102127,c
2013-10-05,925876.9599700327,687591.1422240895,1186853.1872422234,c
2013-10-07,1116684.4576996253,853116.9570154824,1347186.2166018372,c
2013-10-08,950423.7466812852,685412.1196803564,1196861.9092669282,c
2013-10-09,902192.9957732692,656859.3838027798,1154839.3196050473,c
2013-10-10,895095.6170683575,653166.9603377539,1149204.1623487058,c
2013-10-11,950897.7992414953,712858.5373429885,1182976.2714949169,c
2013-10-12,888542.6157596791,644459.3401971048,1136342.415440808,c
2013-10-14,1074298.7212443016,833729.540481928,1330219.0589479683,c
2013-10-15,907017.4032730523,668356.556549311,1171671.8888647973,c
2013-10-16,858795.4347590179,607644.9456535327,1120042.6568517718,c
2013-10-17,852722.7729444795,596948.682312272,1105088.4077842515,c
2013-10-18,910526.24505055,653088.187470808,1178783.6825528147,c
2013-10-19,851084.8832733284,601576.1056306774,1091547.4064892726,c
2013-10-21,1045038.8267012067,814805.7351722164,1285279.6677840322,c
2013-10-22,882810.4662951695,645574.1072841502,1140208.99972043,c
2013-10-23,840098.625329134,601179.1964214594,1087035.4505641446,c
2013-10-24,839846.323171925,600828.3913096207,1095074.911843578,c
2013-10-25,903628.292521212,645058.9382796222,1140589.24416111,c
2013-10-26,850170.7456744731,615067.0829963245,1107892.6270945943,c
2013-10-28,1055520.0115503692,803901.6981087157,1290959.3252726924,c
2013-10-29,898432.8682268594,659179.2633261817,1158435.2195302176,c
2013-10-30,860335.9272756806,623262.1516726655,1123721.7529414215,c
2013-10-31,864078.7715567423,631397.2922989918,1108639.3110620086,c
2013-11-01,931164.8071665594,680396.4798799487,1173977.3729709263,c
2013-11-02,880273.1666555307,642139.9383143934,1127996.5445476389,c
2013-11-04,1088480.5311633935,837995.6868184942,1334208.7242598312,c
2013-11-05,931722.2955266746,692852.1471753152,1189980.8864127086,c
2013-11-06,893287.5411419433,646635.5417483954,1154665.524931437,c
2013-11-07,896106.2589290767,657496.1470916931,1153265.2508830733,c
2013-11-08,961783.6816436173,717506.0161439257,1215236.919647563,c
2013-11-09,909119.1754035173,663395.5376702361,1162434.2627659342,c
2013-11-11,1113238.9829239524,865858.2047051552,1365367.3247060312,c
2013-11-12,954463.9219277055,712580.9502708868,1194159.3085716653,c
2013-11-13,914234.6738121366,677912.1621239436,1158944.7987869794,c
2013-11-14,915631.6725429557,659063.2061506539,1160626.7116767387,c
2013-11-15,980402.5627917574,718577.3693814442,1225527.1379168716,c
2013-11-16,927476.4377833381,678695.9307780869,1173067.3916832204,c
2013-11-18,1133437.4178235559,901324.2026433998,1388757.324947236,c
2013-11-19,976924.0018081886,742741.7948585736,1216925.9578137707,c
2013-11-20,939912.7718808261,681343.2286542609,1182946.4751687837,c
2013-11-21,945494.7331136361,712430.5744208844,1185289.218454446,c
2013-11-22,1015397.420114207,757759.3869911592,1259351.6892826327,c
2013-11-23,968498.6430589191,731317.1000454803,1209443.0666719633,c
2013-11-25,1188842.9797315588,930313.4107669103,1447578.003715702,c
2013-11-26,1040434.608051688,786330.3703109397,1274248.9679183322,c
2013-11-27,1011926.9132967159,774557.037628483,1241304.1416960785,c
2013-11-28,1026225.7145312256,770460.1958839635,1281233.7057105557,c
2013-11-29,1104856.3560959143,861514.2615133281,1342266.9076195033,c
2013-11-30,1066482.1690132108,804020.3043365394,1316050.2107014835,c
2013-12-02,1302377.2943377476,1049755.7629009124,1550154.4959985055,c
2013-12-03,1160552.1728826968,907196.3608037377,1403942.421643107,c
2013-12-04,1137549.5942676717,880758.005505632,1398602.9246172376,c
2013-12-05,1156080.004353624,896741.8585159931,1407089.7638301342,c
2013-12-06,1237493.3309188408,983963.7011942172,1479007.542232254,c
2013-12-07,1200302.1784334718,963262.2623383257,1439894.877969748,c
2013-12-09,1433309.4944115756,1189709.5652116772,1678247.9708570722,c
2013-12-10,1287269.9588738333,1036682.8784628841,1542937.9623602706,c
2013-12-11,1258170.9732446794,1004913.1360633872,1505979.7593698062,c
2013-12-12,1268744.403822479,1029880.8349548093,1510216.5305371094,c
2013-12-13,1340400.1685575212,1105724.6717814037,1610758.7455740818,c
2013-12-14,1291748.737557372,1060638.8589778158,1538627.9230828504,c
2013-12-16,1497297.77528605,1261687.4137962349,1729148.068582948,c
2013-12-17,1335626.7788007148,1094054.433800429,1600900.2742529102,c
2013-12-18,1289919.4615976017,1054513.9667424995,1532774.0296529469,c
2013-12-19,1283154.844097113,1034910.4548431786,1547144.3587847028,c
2013-12-20,1337006.876627708,1080329.3183351364,1588833.7887867931,c
2013-12-21,1270361.4322741544,1018889.7939063556,1508071.9058110171,c
2013-12-23,1440475.3657064652,1168236.4020246533,1683602.8026337496,c
2013-12-24,1261918.6210162686,1016126.4116547424,1506021.851620393,c
2013-12-27,1219054.6983013018,966111.5345998324,1477027.1972022243,c
2013-12-28,1140539.1635555555,902578.7142740255,1404828.6979858151,c
2013-12-30,1292268.5282080544,1048935.191025249,1532040.3799266368,c
2013-12-31,1107427.2305705799,843764.004300064,1349355.475243637,c
2014-01-02,1017700.7335550324,770309.3158276223,1268084.243910385,c
2014-01-03,1057943.6695156263,795834.1975704032,1295510.3697776247,c
2014-01-04,981248.248892839,745282.5056532877,1223871.789302425,c
2014-01-06,1142190.977551582,896833.8402029437,1403525.8849601487,c
2014-01-07,964475.4111587174,708149.4063476968,1218906.5345009074,c
2014-01-08,907119.5493039346,639900.6636332468,1153732.04275178,c
2014-01-09,893175.5222962485,662364.90914697,1131931.265690183,c
2014-01-10,944314.1815682565,701553.539771508,1163452.0309469653,c
2014-01-11,879343.5264450444,631931.5859505297,1120537.6366115427,c
2014-01-13,1065305.3862235101,823230.1780976448,1299272.1564446187,c
2014-01-14,900425.8939356599,645646.6886886419,1155281.0249959405,c
2014-01-15,855827.8900618961,605866.0566464795,1088038.500460319,c
2014-01-16,854355.2937755724,618650.6801881159,1091766.03229239,c
2014-01-17,917486.3266500715,646670.5604195468,1153608.5981384127,c
2014-01-18,863855.2123752076,631802.2537008653,1119051.6002551,c
2014-01-20,1069952.4752276468,825848.9680152813,1316325.5744202714,c
2014-01-21,913636.8913667721,670063.9260686671,1182710.9295892767,c
2014-01-22,876488.3525278686,629080.7057854861,1140107.7512329784,c
2014-01-23,881299.4894814688,636671.7190528904,1131270.6703057464,c
2014-01-24,949522.9749100861,717482.563394117,1194754.4641174462,c
2014-01-25,899792.2350214694,646865.1628805996,1154580.402065864,c
2014-01-27,1110225.0867844908,860692.661609939,1359324.0748435915,c
2014-01-28,954451.1248390818,711499.5748595542,1213250.9750265004,c
2014-01-29,916859.9620365964,662175.1352418087,1167511.7355336528,c
2014-01-30,920336.6516013582,663481.4512131743,1163542.194246473,c
2014-01-31,986436.7481190185,734653.4452397581,1239174.897034535,c
2014-02-01,933903.9905535643,691964.7009052013,1171875.9807512234,c
2014-02-03,1137157.5101991778,899794.3566025889,1379821.4296735327,c
2014-02-04,977237.7696039532,742196.980846345,1221524.006262071,c
2014-02-05,935280.1488043177,680664.466058225,1183937.3164843605,c
2014-02-06,934275.6682932143,685797.578419044,1187041.7934391198,c
2014-02-07,995878.3543685653,745709.8768049581,1240020.4145544723,c
2014-02-08,938921.4799968323,699309.9076870421,1206174.0370063721,c
2014-02-10,1133854.0694382295,889706.1139590534,1370352.6847570601,c
2014-02-11,970164.1636879112,727449.756256709,1215876.1584901048,c
2014-02-12,924762.6612618892,697320.8705404644,1164201.8681026066,c
2014-02-13,920676.7236798943,676985.6922042703,1176973.3964579396,c
2014-02-14,979586.4497157891,735315.2081014614,1231740.3994468262,c
2014-02-15,920341.9445420323,673750.3019936335,1159422.4598950827,c
2014-02-17,1111942.5240896118,878654.4510327964,1365982.9106699093,c
2014-02-18,947205.2737438428,702297.3327495544,1199726.9884216164,c
2014-02-19,901158.214454621,645775.6427104964,1150303.9437940242,c
2014-02-20,896815.7743721128,648076.1932769316,1153672.6485109236,c
2014-02-21,955842.834037714,714695.9316907594,1210950.1728037605,c
2014-02-22,897072.7494398144,651296.2994145489,1140371.1402210896,c
2014-02-24,1090623.3861071554,849032.8940481158,1331196.7703862155,c
2014-02-25,927326.8846723825,684872.0836282737,1189323.4189867773,c
2014-02-26,883008.5321942882,617941.7246926404,1126661.31385208,c
2014-02-27,880666.5553924302,636358.508015532,1119248.4917093872,c
2014-02-28,941950.0340654708,684216.0895233769,1207796.4669036716,c
2014-03-01,885676.6044413672,645313.35032284,1150232.2543411672,c
2014-03-03,1084875.9574743505,831779.0377666471,1336377.0295281247,c
2014-03-04,924695.9277695342,678839.7171330061,1161840.7023540204,c
2014-03-05,883661.8482249291,628757.2247687725,1119329.5536255413,c
2014-03-06,884748.3935202432,621181.3230398009,1141685.4761414079,c
2014-03-07,949577.7394042122,696248.4738832951,1183864.824726122,c
2014-03-08,896936.8184642416,636599.7853507183,1137121.6842793536,c
2014-03-10,1103517.6298351795,876387.8795067244,1357744.4473812776,c
2014-03-11,947004.2625994793,708262.3918945533,1172008.3728929267,c
2014-03-12,909559.2455125577,689461.7661166072,1137675.397623254,c
2014-03-13,914106.6932757319,678296.8423683394,1153449.5421421507,c
2014-03-14,982215.5190875053,735781.6218628923,1242276.694147898,c
2014-03-15,932617.6139635302,692730.1257313956,1179982.9921283135,c
2014-03-17,1144352.8564291503,919058.1096687699,1400344.0231711308,c
2014-03-18,989842.7448850956,751387.2117633035,1258423.3199754357,c
2014-03-19,953951.1029100795,706250.4976579519,1202426.974439039,c
2014-03-20,959557.5464988233,724684.4903344726,1198755.650160235,c
2014-03-21,1028193.0668292342,783008.5792982883,1251003.7738118346,c
2014-03-22,978559.6699682311,724967.2229423785,1239139.9738501953,c
2014-03-24,1188465.9055910176,946401.2624997951,1415246.4415129765,c
2014-03-25,1032153.888670125,812493.6093512564,1280951.4182013,c
2014-03-26,993883.0260719154,751278.7212661046,1228197.8327906167,c
2014-03-27,996559.3028285552,746402.6525820298,1245977.2302782726,c
2014-03-28,1061752.7528724784,814774.7684903169,1309407.3600696283,c
2014-03-29,1008216.8233777037,761211.8832858433,1245868.4492857095,c
2014-03-31,1209200.2276502787,973842.3186842931,1453694.6387906014,c
2014-04-01,1048025.3595296504,796074.2724499103,1278810.6817138095,c
2014-04-02,1004743.113900265,730538.6280921277,1269108.746940046,c
2014-04-03,1002356.6470455807,769241.8505424325,1247599.942631681,c
2014-04-04,1062536.9012093716,824462.9291546843,1292009.4583404607,c
2014-04-05,1004139.6239399717,757629.2902904459,1252364.057648273,c
2014-04-07,1196257.1625675117,970535.5682684453,1438672.4399250164,c
2014-04-08,1031266.8876076387,787368.8569969803,1280584.6612856765,c
2014-04-09,984694.3529394851,746173.6320804294,1223459.5688213971,c
2014-04-10,979614.8106342898,752146.6913694759,1219414.5263738746,c
2014-04-11,1037758.3983479979,782022.5522013209,1280980.6833189018,c
2014-04-12,978025.3835711922,733326.5600121168,1215751.3580111442,c
2014-04-14,1169670.730472417,909062.0349164618,1424121.0169583529,c
2014-04-15,1005548.7612104127,763294.911852359,1254356.5040584768,c
2014-04-16,960554.2117619369,703615.152387541,1210493.1118605202,c
2014-04-17,957720.3078230025,719908.4957625672,1217626.1854405235,c
2014-04-19,962374.1611482404,723819.5207144355,1220975.7632833654,c
2014-04-22,1002330.598960421,761500.8218809647,1240929.1498130062,c
2014-04-23,961873.5593955661,724712.7851274053,1215725.4094912617,c
2014-04-24,963577.4191979289,701725.1294790749,1181829.5576260446,c
2014-04-25,1028992.803612051,799996.3843671267,1278760.2033595566,c
2014-04-26,976827.3142503006,729935.0722980853,1241927.6854790384,c
2014-04-28,1183687.376622837,949198.1808044935,1446407.3307909095,c
2014-04-29,1026805.719348777,774516.7197098382,1259459.0514623881,c
2014-04-30,988543.8720451983,741180.7661594211,1228898.0878056858,c
2014-05-02,1057934.5993252695,812289.8207694665,1314448.739047278,c
2014-05-03,1005773.191716835,761079.5074015227,1263675.0793630665,c
2014-05-05,1210344.0447398927,954607.7681161996,1464049.6167887263,c
2014-05-06,1051215.1396515544,798957.1575549213,1300842.4682566628,c
2014-05-07,1010033.7242381094,776489.901301397,1257010.2807305818,c
